Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Total,Rank_asistencias_Total,Rank_rebotes_Total,Rank_libres_Total,Rank_dobles_Total,Rank_triples_Total,Rank_robos_Total,Rank_score_global_Total,Torneo,picture
",JOSE ANTONIO ESCALANTE",0.0,0.25,1.75,0.0,0.0,0.0,0.0,2.0,4,246,83,175,89,133,86,95,331,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AARON PRZYBYTEK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jhPVtZgPMDrAsA2WV9MbS4.jpg
ABDUCH NEHUEN,1.6666666666666667,0.6666666666666666,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,5.333333333333333,3,219,66,168,89,124,75,57,289,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/e7838jvcQZUToDfSTP1j2U.jpg
ABRAHAM JORGE,3.0,0.0,5.0,1.0,1.0,0.0,0.0,8.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ACOSTA ADAN,3.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mDDXR3AaZcKdychjJWQrdT.jpg
ACOSTA LEANDRO,4.333333333333333,1.0,3.3333333333333335,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,10.0,3,171,52,131,77,133,35,44,211,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"ACOSTA, GONZALO",9.0,0.25,6.5,0.5,2.0,1.5,1.0,16.75,4,93,83,62,72,75,32,57,113,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"ADAMINI, JONATHAN ADRIAN",7.5,1.0,5.5,0.0,3.0,0.5,0.0,14.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADAN ACOSTA,8.6,1.2,2.6,0.4,0.8,2.2,1.2,13.6,5,99,43,153,75,113,18,48,154,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6gWTpLC5Hs5FCmdtoY1cEr.jpg
ADOLFO ROCHA,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADOLFO RODRIGUEZ,3.0,0.0,5.0,0.5,0.5,0.5,0.0,8.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADONIS GOMEZ,4.75,0.75,3.25,0.0,2.0,0.25,1.75,10.5,4,162,63,133,89,75,78,29,202,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADRIAN NERI BONDARUK,3.0,0.0,7.0,0.5,0.5,0.5,0.0,10.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/je6Mtv6Fvg67UbuHH93pv7.jpg
ADRIANO ENRIQUE TARDITI,14.0,0.5,5.0,0.75,1.75,3.25,0.25,19.75,4,39,74,85,62,83,8,89,81,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eZymfVPVvAHKPseznuvRLU.jpg
ADRIANO TARDITI,16.0,1.5,6.5,0.0,0.5,5.0,2.5,26.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGROMARTIN JOAQUIN,1.5,1.0,5.0,0.0,0.0,0.5,1.5,9.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"AGUIRRE, PABLO",2.25,0.75,5.0,0.25,1.0,0.0,0.25,8.25,4,209,63,85,82,109,86,89,241,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jggd1CoVZ4D3zoWwTJNApi.jpg
AGUSTIN ARES,5.0,0.75,4.0,0.25,0.5,1.25,1.25,11.0,4,159,63,108,82,120,38,47,194,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN ARIEL BATTO,5.0,1.5,8.5,1.5,1.0,0.5,1.0,16.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/cFZ3XQpyAR3r6iVaLReiMP.jpg
AGUSTIN BARROS,0.6333333333333333,0.1,4.366666666666666,0.1,0.26666666666666666,0.0,0.26666666666666666,5.366666666666667,8,239,87,100,87,127,86,88,287,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN BELTRAMINO,2.5,0.5,3.0,1.5,0.5,0.0,0.0,6.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN BERTOLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/sX396k8M2GTjZDf8CSMYzr.jpg
AGUSTIN BIDONE,1.75,0.1,2.3,0.25,0.75,0.0,0.2,4.35,7,218,87,161,82,114,86,90,304,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN BRACCO,5.166666666666667,1.0416666666666665,5.291666666666666,0.4583333333333333,2.1666666666666665,0.125,0.29166666666666663,11.791666666666668,7,157,51,80,73,69,82,87,182,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN BUSTOS VALENZUELA,12.5,1.5,12.0,0.75,2.5,2.25,1.75,27.75,4,50,30,7,62,58,17,29,25,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN CABANAY,5.833333333333334,0.5,6.833333333333333,1.1666666666666667,2.3333333333333335,0.0,0.6666666666666666,13.833333333333332,4,141,74,55,50,62,86,72,148,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN CAPURRO,5.5,0.25,2.25,0.75,1.25,0.75,0.75,8.75,4,147,83,163,62,100,55,67,231,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/5fRMX3zQWCCi7jSdq1fxDA.jpg
AGUSTIN CASON,3.666666666666667,1.0833333333333335,3.416666666666667,0.5,1.3333333333333335,0.16666666666666666,0.5833333333333334,8.75,9,181,48,128,72,96,80,75,231,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN CATALIN MALIN,0.0,2.0,3.0,0.0,0.0,0.0,2.0,7.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6ii21wqFv4TyNSaAkD4h4h.jpg
AGUSTIN COMOLLI,2.0,1.0,4.5,0.0,1.0,0.0,1.0,8.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN EZEQUIEL ZOCCHI,4.25,1.5,5.0,0.5,0.75,0.75,0.25,11.0,4,173,30,85,72,114,55,89,194,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN FRANCISCO FORNES,7.333333333333333,0.3333333333333333,7.0,1.6666666666666667,2.3333333333333335,0.3333333333333333,3.0,17.666666666666668,3,117,81,53,34,62,75,11,102,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eFFbuXtiJ5ZFd3KnXA1Xgx.jpg
AGUSTIN GUERRERO PENAS,2.6666666666666665,0.0,4.333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,8.666666666666666,3,201,89,102,89,97,86,31,232,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN IGNACIO SERAFINI,10.333333333333334,2.0,4.0,0.0,1.6666666666666667,2.3333333333333335,0.6666666666666666,17.0,3,75,22,108,89,84,16,72,111,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN JAMELE,1.0,0.5,2.5,0.0,0.5,0.0,0.5,4.5,4,232,74,156,89,120,86,77,302,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/xzHgyKYFiDtXdfg5m2YmXH.jpg
AGUSTIN LYARDET,4.0,2.3333333333333335,4.666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,12.0,3,176,17,91,77,97,75,57,178,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN MACEIRA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/aaRBJ8aKFVWjZWtd8zAZDw.jpg
AGUSTIN MAFFE,3.0,0.0,2.0,0.5,0.5,0.5,2.5,7.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN MENDIA,9.25,1.25,7.5,1.25,3.25,0.5,1.0,19.0,4,90,41,45,47,46,65,57,87,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eFFbuXtiJ5ZFd3KnXA1Xgx.jpg
AGUSTIN NADAL,2.3333333333333335,2.0,3.6666666666666665,1.0,0.6666666666666666,0.0,2.3333333333333335,10.333333333333334,3,208,22,122,57,116,86,20,206,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN NEHUEN MARTINEZ,0.6,0.2,1.8666666666666667,0.26666666666666666,0.16666666666666666,0.0,0.16666666666666666,2.8333333333333335,8,240,84,171,81,130,86,91,321,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mUuS9Y9DKYcQ3HC376qzPq.jpg
AGUSTIN PASSADORE,12.666666666666666,2.3333333333333335,6.0,0.6666666666666666,6.0,0.0,1.3333333333333333,22.333333333333332,3,49,17,68,65,10,86,44,56,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rDiqbX2ZsKKV4z2gMr8bYK.jpg
AGUSTIN PAURA,4.666666666666667,2.3333333333333335,3.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,12.0,3,164,17,122,57,97,75,44,178,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN RUIZ,2.0,1.5,1.5,0.0,1.0,0.0,0.5,5.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN SAINATO,7.0,1.2,9.2,0.6,2.6,0.4,1.0,18.4,5,121,43,26,68,56,72,57,94,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN SAMOS,3.25,1.0,4.0,1.25,1.0,0.0,1.25,9.5,4,190,52,108,47,109,86,47,221,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN SANCHEZ,5.5,1.5,6.25,1.0,2.25,0.0,1.0,14.25,4,147,30,66,57,67,86,57,145,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6gWTpLC5Hs5FCmdtoY1cEr.jpg
AGUSTIN SILVA,10.25,0.25,2.375,0.325,1.4,2.375,0.675,13.55,9,77,83,159,78,94,15,71,157,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN AGUSTIN SIO LOPEZ,9.825,1.05,3.95,0.675,2.4,1.45,1.1,15.925,9,82,50,109,64,60,33,55,122,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mUuS9Y9DKYcQ3HC376qzPq.jpg
ALAN ALEJO METZLER,11.0,2.0,7.5,2.5,3.5,0.5,1.5,22.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN BENDUYA,12.0,0.3333333333333333,5.666666666666667,6.333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,18.666666666666668,3,55,81,73,2,62,75,72,92,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN BERLINER,2.5,0.0,1.5,0.0,0.5,0.5,0.0,4.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN BERMAN,5.0,0.0,1.5,0.0,1.0,1.0,1.0,7.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN DVEKSLER,5.333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,2.3333333333333335,0.0,1.3333333333333333,9.666666666666666,3,151,81,151,65,62,86,44,217,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/hU93N7TY8Rb8QBr7UrgjLA.jpg
ALAN EZEQUIEL GOMEZ,0.5,1.0,3.0,0.5,0.0,0.0,1.0,5.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/9Fay7VYuGwxiTf4Us6DVsv.jpg
ALAN GARBER,9.333333333333334,3.3333333333333335,6.666666666666667,1.6666666666666667,3.3333333333333335,0.3333333333333333,0.6666666666666666,20.0,3,89,5,58,34,45,75,72,80,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/uaTdmiZoWncVZQLLji7vjg.jpg
ALAN GUILLERMO AARON GODOY,3.25,0.5,4.25,0.0,1.25,0.25,0.25,8.25,4,190,74,103,89,100,78,89,241,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN KURC,9.75,1.5,9.0,1.75,4.0,0.0,1.75,22.0,4,85,30,29,31,35,86,29,59,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALAN SAJA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALBERTO FACUNDO SANTOME REY,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALBERTO GUSTAVO RABANAL,9.0,0.5,5.0,1.5,3.0,0.5,0.0,14.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALBERTO NICOLAS MENDEZ,4.0,0.0,2.5,0.0,2.0,0.0,0.0,6.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEJANDRO CARBONELL,1.5,0.0,4.0,0.0,0.0,0.5,1.0,6.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/7em6dHEMTZHkvA57aBie5A.jpg
ALEJANDRO DUARTE,0.0,1.0,8.0,0.0,0.0,0.0,2.0,11.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEJANDRO PERALTA BAZAS,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/b9onGqdbhLqseSs3PdLZnw.jpg
ALEJANDRO RAFAEL MAYORA VILLANUEVA,15.0,0.6000000000000001,11.3,1.7000000000000002,5.3,0.9,2.2,29.1,10,31,69,10,32,16,46,23,20,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEJANDRO VAZ FERREIRA,5.0,0.0,4.5,0.0,1.0,1.0,3.0,12.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEJO ALEJO MANUEL GARCIA,4.0,1.0,2.0,0.0,2.0,0.0,1.0,8.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/7em6dHEMTZHkvA57aBie5A.jpg
ALEJO CASSINA,4.333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,2.0,0.0,0.3333333333333333,8.666666666666666,3,171,66,131,77,75,86,84,232,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/3SEmRLoY18nBLdMpUU4kMm.jpg
ALEJO DOMINGUEZ,12.5,0.75,5.25,0.5,3.0,2.0,3.0,21.5,4,50,63,81,72,49,21,11,63,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/xAqnjHzsqeeoVvTWT8dA5H.jpg
ALEJO LOPEZ,10.75,0.25,4.75,2.0,3.25,0.75,0.25,16.0,4,69,83,90,28,46,55,89,121,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/inbJiMpBtjobkqXKrD37bZ.JPG
ALEJO PLANAS,4.0,3.0,3.0,2.0,1.0,0.0,2.0,12.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEJO SAHAGUN,1.0,1.3333333333333333,3.3333333333333335,0.0,0.0,0.3333333333333333,0.0,5.666666666666667,3,232,35,131,89,133,75,95,283,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEX FALCON,2.0,0.0,4.0,0.0,1.0,0.0,1.0,7.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEX MUGICA,7.0,2.0,2.5,0.5,2.5,0.5,3.5,15.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEX ROSLER,1.6666666666666667,0.0,2.0,0.3333333333333333,0.6666666666666666,0.0,1.0,4.666666666666667,3,219,89,168,77,116,86,57,300,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEXANDER LOPEZ,0.5,0.0,0.5,0.5,0.0,0.0,0.5,1.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEXIS NAHUEL ROJAS,2.6666666666666665,0.3333333333333333,6.0,0.0,1.3333333333333333,0.0,1.6666666666666667,10.666666666666666,3,201,81,68,89,97,86,31,199,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALEXIS OHAN KORUK,9.5,0.0,7.25,2.0,3.75,0.0,0.5,17.25,4,87,89,49,28,37,86,77,108,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALFONZO NAHUEL,7.0,0.5,2.5,0.0,2.0,1.0,1.5,11.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALFREDO TUCCI,1.0,0.5,2.0,0.0,0.5,0.0,0.75,4.25,6,232,74,168,89,120,86,67,307,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALVAREZ HERNANDEZ NICOLAS,6.0,0.0,3.0,2.0,2.0,0.0,0.0,9.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALVARO MANUEL MENDOZA,14.0,3.0,4.0,5.0,3.0,1.0,2.0,23.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ALVARO NATANIEL CONDORI,1.25,0.0,1.75,0.125,0.375,0.125,0.25,3.25,8,228,89,175,86,123,82,89,318,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AMBROSIO ARIZU,2.0,0.875,6.25,0.5,0.75,0.0,0.75,9.875,5,215,57,66,72,114,86,67,212,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/pGTdagFXsiXQbhLYsEBA7m.jpg
AMORBELLO JOAQUIN,4.5,0.5,3.0,1.75,1.0,0.25,1.0,9.0,4,166,74,142,31,109,78,57,229,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/1TNMsAxavjT88oBtGHqbmp.jpg
ANDRES AGUSTIN YONAMINE,0.0,0.0,3.0,0.0,0.0,0.0,0.5,3.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/ru7cVXrxe1cNifkSdC8WAs.jpg
ANDRES ALDO PALOMO,7.5,0.0,4.0,0.5,0.5,2.0,1.0,12.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANDRES ELNESER,5.0,0.3333333333333333,6.0,0.3333333333333333,2.3333333333333335,0.0,1.3333333333333333,12.666666666666666,3,159,81,68,77,62,86,44,167,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANDRES GUINSBURG,2.2,1.0,3.0,0.0,0.8,0.2,0.6,6.8,5,210,52,142,89,113,79,74,261,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/vKK8Y2cMdws9YnPnVWVUQX.jpg
ANDRES MARDIROSIAN,7.2,0.0,4.4,0.2,0.8,1.8,0.8,12.4,5,119,89,98,83,113,24,66,172,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANDRES MARQUEZ,2.0833333333333335,0.16666666666666666,2.3333333333333335,0.25,0.6666666666666666,0.16666666666666666,0.75,5.333333333333334,5,214,85,160,82,116,80,67,288,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANDRES QUIRELLI,15.125,1.125,2.875,2.875,4.625,1.0,2.125,21.25,6,30,46,144,14,24,44,24,66,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/c6giixsiwLUuKyd1AzPXq3.jpg
ANDRES SAINZ,3.0,1.0,5.0,1.0,1.0,0.0,0.0,9.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/dRyrMZSTJ29nsKfMXs8EKd.jpg
ANDRES VILLEGAS,6.5,1.5,4.0,2.5,2.0,0.0,4.0,16.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/u7NQfsL8gteZ3T7CaSF1oJ.jpg
ANGEL RAUL STORANI,3.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANTA SANTIAGO,2.5,1.5,1.0,0.5,1.0,0.0,1.0,6.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/qgqXgQc3aMnhxKDTEMM29o.jpg
ANTHONY HERNANDEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANTONIO BARCIA,2.2,0.6,2.2,0.0,0.8,0.2,0.6,5.6,5,210,70,164,89,113,79,74,285,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANTONIO GUERRIERO,10.0,0.0,2.0,0.0,5.0,0.0,1.0,13.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANTONIO VILA,2.6666666666666665,0.3333333333333333,4.666666666666667,0.0,1.3333333333333333,0.0,0.6666666666666666,8.333333333333334,3,201,81,91,89,97,86,72,240,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ANTU LIMA PAGLIOTTO,8.333333333333334,0.0,6.666666666666667,1.6666666666666667,3.3333333333333335,0.0,1.0,16.0,3,103,89,58,34,45,86,57,121,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ARA KRIKORIAN,2.857142857142857,0.42857142857142855,2.857142857142857,0.0,1.4285714285714286,0.0,0.42857142857142855,6.571428571428571,7,195,75,145,89,91,86,79,265,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ARAUJO JORGE,2.2,0.8,2.6,0.6,0.8,0.0,2.0,7.6,5,210,62,153,68,113,86,25,250,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ARIEL BENJAMIN CONDORI LEAL,5.0,1.5,1.5,0.0,1.0,1.0,0.0,8.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ARIEL HOROWITZ,1.0,0.5,3.5,0.0,0.5,0.0,1.0,6.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/gxyLwPpZ5kNMg1tHe2fDCA.jpg
ARIEL JORGE SABBADINI,2.75,0.5,2.25,0.25,1.25,0.0,0.25,5.75,4,197,74,163,82,100,86,89,281,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ARIEL MARCONI,1.8333333333333333,0.3333333333333333,2.5,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,5.333333333333333,6,216,81,156,77,120,80,72,289,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ARIEL TEPLITZ,5.5,3.5,4.0,2.0,1.0,0.5,1.5,14.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/bMRMXNFqKJttdHJqopYWaC.jpg
ARIEL ZAJAC,3.6666666666666665,0.6666666666666666,3.3333333333333335,0.0,1.3333333333333333,0.3333333333333333,1.0,8.666666666666666,3,182,66,131,89,97,75,57,232,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/9nevt7GBfaYxqn5MRA5wWJ.jpg
ARRESE LEMOS MATIAS,6.0,0.0,3.5,0.5,0.5,1.5,0.0,9.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"ASIAIN, FRANCISCO",6.0,0.5,5.5,0.0,3.0,0.0,0.5,12.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
