Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Total,Rank_asistencias_Total,Rank_rebotes_Total,Rank_libres_Total,Rank_dobles_Total,Rank_triples_Total,Rank_robos_Total,Rank_score_global_Total,Torneo,picture
TOMAS KOBRINSKY,3.071428571428571,0.0,2.7857142857142856,0.25,0.07142857142857142,0.8928571428571428,0.0,5.857142857142858,11,192,89,148,82,132,47,95,279,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/1VEdoC19FbnnbhBZdjWLqP.jpg
TOMAS LACASA,6.0,1.5,6.333333333333333,1.6666666666666665,2.1666666666666665,0.0,1.0,14.833333333333334,4,138,30,65,35,69,86,57,136,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS LEJARZA,1.5,0.75,4.25,0.0,0.0,0.5,0.5,7.0,4,222,63,103,89,133,65,77,258,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS MAHER,2.0,4.0,5.0,0.0,1.0,0.0,5.0,16.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS MONTERO,12.0,1.0,5.333333333333333,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.0,19.333333333333332,3,55,52,79,77,62,16,57,85,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6vADWeddfmEUZXshHxa2GH.JPG
TOMAS MORALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS MUGNOLO,4.4,0.6,4.4,0.4,1.4,0.4,2.8,12.2,5,168,70,98,75,94,72,12,175,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS MULLER,14.0,1.4,4.8,2.6,3.6,1.4,3.2,23.4,5,39,32,89,18,40,34,9,49,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS PUNTIN,4.25,0.4166666666666667,2.1666666666666665,0.08333333333333333,2.0833333333333335,0.0,0.08333333333333333,6.916666666666667,7,173,76,166,88,73,86,94,259,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS REPETTO,7.333333333333333,2.0,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,12.0,3,117,22,160,45,109,35,84,178,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS REYES,2.5,2.25,5.0,0.75,0.5,0.25,0.75,10.5,4,204,19,85,62,120,78,67,202,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/2SJbJ55kXZhAq2Y9b7VvxL.jpg
TOMAS RUIZ,3.4,0.2,2.6,0.8,1.0,0.2,0.8,7.0,5,187,84,153,61,109,79,66,258,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/7em6dHEMTZHkvA57aBie5A.jpg
TOMAS SAMBUCETTI,13.4,1.4,4.2,2.0,2.4,2.2,2.4,21.4,5,42,32,104,28,60,18,18,64,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
TOMAS VARGAS,7.666666666666667,1.0,2.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,11.666666666666666,3,110,52,168,77,84,35,57,184,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6vADWeddfmEUZXshHxa2GH.JPG
TOMAS VILLALBA,4.0,0.0,2.6666666666666665,2.0,1.0,0.0,0.6666666666666666,7.333333333333333,3,176,89,151,28,109,86,72,254,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"TORRES, JOSHUA",14.0,1.0,6.5,2.1666666666666665,2.6666666666666665,2.1666666666666665,2.6666666666666665,24.166666666666668,6,39,52,62,25,54,19,15,43,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/f3atAfhmGU9R6qXP6mczgd.jpg
TRINITARIO SEBASTIAN NICOLAS,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,0.0,4.0,3,227,81,160,65,124,86,95,309,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
UCIEL MADRID,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ULAGNERO MARTIN,27.0,1.0,14.0,4.0,10.0,1.0,2.0,44.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ULISES HARISTOY PALMAZ,11.5,2.5,6.5,2.5,4.5,0.0,1.0,21.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ULISES SANTIAGO LOPEZ,2.0,1.0,5.0,0.0,1.0,0.0,1.5,9.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/vHqEbj2pDA9Y5F8MwiUYKf.jpg
URIEL OLEA,13.0,1.3333333333333333,5.333333333333333,0.6666666666666666,2.6666666666666665,2.3333333333333335,1.0,20.666666666666668,3,46,35,79,65,54,16,57,73,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
URIEL QUALIZZA,3.0,1.0,4.5,0.0,1.125,0.25,1.25,9.75,5,193,52,96,89,104,78,47,216,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
URIEL ZALCMAN,8.0,0.0,3.0,0.0,4.0,0.0,0.0,11.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VACIRCA JUAN BAUTISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN CAVALIERI,3.5,0.4,3.0,0.5,1.5,0.0,0.8,7.7,6,186,78,142,72,89,86,66,248,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/rNBeVQM3Fa25aJVRMQhXBA.jpg
VALENTIN DI SANTO,2.6666666666666665,0.0,3.3333333333333335,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.333333333333333,3,201,89,131,89,124,57,84,269,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN GARAY,6.0,0.0,3.3333333333333335,0.0,1.0,1.3333333333333333,0.3333333333333333,9.666666666666666,3,138,89,131,89,109,35,84,217,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN HERMAN,5.5,1.0,3.5,0.5,1.0,1.0,2.0,12.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/8vcLLoAsxAMD5iuZpkQ1A8.jpg
VALENTIN LORENZE,9.5,1.5,4.0,1.0,2.0,1.5,2.0,17.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN NAHUEL SCHOFRIN,9.0,2.0,2.75,1.0,2.5,1.0,1.5,15.25,4,93,22,149,57,58,44,36,131,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
VALENTIN NAPOLI,19.0,0.0,8.0,1.0,6.0,2.0,3.0,30.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
