torneo,categoria,fecha_fixture,match_id,date,location,team,picture_bagde,Jugador,puntos,rebotes,asistencias,robos,fouls,triples,dobles,libres,status,picture
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Donoso Matias Ezequiel,3,2,0,0,0,1,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Silva Justo Enrique,2,4,0,1,1,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Pastore Santiago,7,3,0,0,1,1,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Corradini Ilan ,6,5,0,2,1,0,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Burgos Ian Matias,6,4,1,1,1,0,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Antu Lima Pagliotto,6,6,0,1,0,0,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Mazzolini Tobias,0,2,0,0,3,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Juan Pereiro,3,2,0,0,0,1,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Jefry Seferino,8,3,1,0,2,2,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ferrante Ignacio,4,3,0,1,1,0,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,MATEO PODETTI	,6,12,0,0,0,0,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,JUAN CRUZ ALDUNATE	,8,8,1,1,2,0,4,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,GONZALO SANCHEZ LOPEZ	,11,2,0,1,1,1,3,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,ERNESTO FERNANDEZ	,0,3,0,0,0,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,GONZALO TRAVIA	,12,4,0,0,1,1,3,3,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,FACUNDO ARAOZ,2,3,0,1,0,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,LUCIANO PAMELLI,13,4,3,2,1,3,0,4,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,SERGIO FERNANDEZ,0,0,0,0,0,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Federico Martinez	,2,3,0,1,0,0,0,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Brian Mathias Coraza Eustace	,5,5,0,1,0,1,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Nicolas Somoza	,0,2,0,0,0,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Lisandro Ricardo Luques	,8,4,0,0,0,2,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Juan Facundo Dominguez	,4,6,0,0,0,0,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Augusto El Zoor	,2,7,0,0,1,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Federico Soraide	,0,2,0,0,1,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Alan Guillermo Aaron Godoy	,2,4,0,0,3,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Nataniel Varzilio	,7,4,0,1,0,1,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Samuel Aragon	,4,5,1,0,0,0,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ezequiel Mahmud,0,3,0,2,2,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ian Burgos,6,5,0,2,1,0,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Kemmerer Agustín,6,7,0,0,1,0,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Bottazzi Facundo,0,2,0,0,5,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Córdoba Nicolas,14,15,0,2,1,0,7,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Emanuel Paz Calvo,2,5,0,1,0,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Zapata LIber,2,2,0,0,1,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Chaparro Facundo,0,2,0,0,0,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Francisco Matías Mié Luraschi,0,3,1,0,0,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Facundo Gaston Del Valle,2,4,3,1,2,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Martin Luciano Ale,2,4,0,2,2,0,0,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Gonzalo Ezequiel Sanchez,13,4,0,0,2,0,6,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Agustin Nehuen Martinez,0,3,0,0,2,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Leandro Lautaro Sanchez,8,3,0,1,5,0,2,4,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Nicolas Martin Yegros,4,4,0,0,5,0,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Cristian Ezequiel Bassi,1,6,0,1,1,0,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Nahuel Horacio Marin Marin,1,3,0,0,2,0,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Alan Agustin Sio Lopez,17,2,0,0,0,2,5,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Lucas Gabriel Flossi,2,3,0,1,2,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Nicolas Galvan 	,2,2,0,0,1,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Alberto Nicolas Mendez	,2,3,0,0,2,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Jorge Dario Oriolo	,18,6,0,2,1,4,0,6,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ariel Marconi	,5,2,0,2,1,1,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Jorge Araujo	,1,3,0,1,4,0,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ivan Ezequiel Ricca	,7,3,0,0,2,1,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Bern Zohore	,1,5,1,0,1,0,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Mateo Avalos	,24,15,1,0,1,0,8,8,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Federico Carreira	,0,4,0,0,3,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,",Jose Antonio Escalante	",0,2,0,0,1,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Donoso Matias Ezequiel,0,1,0,0,1,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Pastore Santiago,9,3,0,0,4,1,3,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Vergara Adrian Eber,2,4,0,0,1,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Burgos Ian Matias,6,6,0,0,3,0,1,4,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Antu Lima Pagliotto,13,6,0,1,2,0,4,5,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Mazzolini Tobias,4,7,0,0,4,0,1,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ezequiel Olguin,29,5,0,2,2,7,2,4,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Arrese Lemos Matias,6,3,0,0,0,1,1,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ezequiel Rozenfarb	,9,2,0,0,1,1,2,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ignacio Gertie	,2,2,0,1,1,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Santiago Barros	,10,3,0,0,4,2,1,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
