categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA B,MATIAS VARELA,6.0,0.75,2.5,1.75,1.0,0.75,1.25,10.5,4,69,28,72,17,52,21,24,93,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/9EsYcHjMobjg3A3ZUXAXNC.JPG
PRIMERA B,MATIAS WISNIEWSKI,2.5,1.5,3.0,0.0,0.5,0.5,0.0,7.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MAURO EXEQUIEL ESCOBAR,11.0,2.0,7.0,1.0,5.0,0.0,1.0,21.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MAURO TACCONE,3.0,2.4,7.2,0.0,0.0,1.0,0.6,13.2,5,94,9,28,39,62,17,32,73,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MAXIMILIANO EZEQUIEL EIJO CIANCIA,13.0,4.0,8.0,3.0,2.0,2.0,1.0,26.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MAXIMILIANO LANZ,3.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MAXIMILIANO SERRA,3.0,2.0,3.6666666666666665,0.0,1.0,0.3333333333333333,0.3333333333333333,9.0,3,94,13,59,39,52,26,36,103,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MEDRANO FRANCISCO,4.333333333333333,0.0,3.3333333333333335,0.3333333333333333,2.0,0.0,0.6666666666666666,8.333333333333334,3,84,38,63,36,40,30,31,108,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MEDRANO VALENTINO,1.0,0.0,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,5.0,3,114,38,63,36,59,30,31,137,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA B,MEZA TADEO,7.5,0.5,2.0,0.0,1.5,1.5,1.5,11.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
