team,puntos_totales,puntos_por_partido,rebotes_totales,rebotes_por_partido,asistencias_totales,asistencias_por_partido,robos_totales,robos_por_partido,faltas_totales,faltas_por_partido,triples_totales,triples_por_partido,dobles_totales,dobles_por_partido,libres_totales,libres_por_partido,score_global,score_global_por_partido,partidos_jugados,dispersion_promedio
FLORIDA CITY,115,38.333333333333336,116,38.666666666666664,20,6.666666666666667,29,9.666666666666666,40,13.333333333333334,13,4.333333333333333,29,9.666666666666666,18,6.0,280,93.33333333333333,3,8.605574959621674
FLORIDA LEGENDS,251,62.75,189,47.25,27,6.75,22,5.5,77,19.25,26,6.5,66,16.5,41,10.25,489,122.25,4,12.920163922987618
FLORIDA LEGENDS B,200,40.0,166,33.2,23,4.6,44,8.8,66,13.2,15,3.0,68,13.6,19,3.8,433,86.6,5,6.182390993653926
FLOW GAME,125,62.5,96,48.0,39,19.5,25,12.5,26,13.0,11,5.5,38,19.0,16,8.0,285,142.5,2,11.180392937735812
FRIJOLEROS,153,51.0,138,46.0,24,8.0,22,7.333333333333333,56,18.666666666666668,10,3.3333333333333335,52,17.333333333333332,19,6.333333333333333,337,112.33333333333333,3,7.207764536241021
GIUFFRA,222,44.4,182,36.4,25,5.0,39,7.8,88,17.6,15,3.0,67,13.4,43,8.6,468,93.6,5,10.550709103716914
GIUFFRA A,143,47.666666666666664,129,43.0,23,7.666666666666667,25,8.333333333333334,46,15.333333333333334,11,3.6666666666666665,46,15.333333333333334,18,6.0,320,106.66666666666667,3,10.847606789625763
GIUFFRA B,213,53.25,153,38.25,39,9.75,43,10.75,88,22.0,22,5.5,54,13.5,39,9.75,448,112.0,4,11.308169192688434
GIUFFRA C,148,37.0,155,38.75,26,6.5,49,12.25,96,24.0,13,3.25,41,10.25,27,6.75,378,94.5,4,6.654296246851144
GORDOS STATE WARRIORS,194,48.5,118,29.5,20,5.0,40,10.0,60,15.0,24,6.0,40,10.0,42,10.5,372,93.0,4,9.660107273237271
GORDOS STEPBACK,247,61.75,158,39.5,48,12.0,24,6.0,76,19.0,27,6.75,67,16.75,32,8.0,477,119.25,4,9.630195189205583
HEADS ACADEMY,91,45.5,86,43.0,14,7.0,22,11.0,35,17.5,5,2.5,29,14.5,18,9.0,213,106.5,2,6.952749203273157
HURACAN DE FERNET,160,53.333333333333336,97,32.333333333333336,23,7.666666666666667,22,7.333333333333333,56,18.666666666666668,23,7.666666666666667,38,12.666666666666666,15,5.0,302,100.66666666666667,3,6.475584363566128
HURLINGHAM RETURN,240,48.0,180,36.0,45,9.0,50,10.0,77,15.4,26,5.2,63,12.6,36,7.2,515,103.0,5,7.368445443388817
