torneo,categoria,fecha_fixture,match_id,date,location,team,player,points,rebounds,assists,steals,fouls,triples,dobles,libres,status,score_global,eficiencia_ofensiva
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,Juan Pereiro,3,2,0,0,0,1,0,0,ok,5,3.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,Jefry Seferino,8,3,1,0,2,2,1,0,ok,12,2.6666666666666665
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,Ferrante Ignacio,4,3,0,1,1,0,2,0,ok,8,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,MATEO PODETTI	,6,12,0,0,0,0,3,0,ok,18,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,JUAN CRUZ ALDUNATE	,8,8,1,1,2,0,4,0,ok,18,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,GONZALO SANCHEZ LOPEZ	,11,2,0,1,1,1,3,2,ok,14,1.8333333333333333
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,ERNESTO FERNANDEZ	,0,3,0,0,0,0,0,0,ok,3,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,GONZALO TRAVIA	,12,4,0,0,1,1,3,3,ok,16,1.7142857142857142
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,FACUNDO ARAOZ,2,3,0,1,0,0,1,0,ok,6,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,LUCIANO PAMELLI,13,4,3,2,1,3,0,4,ok,22,1.8571428571428572
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,SERGIO FERNANDEZ,0,0,0,0,0,0,0,0,ok,0,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Federico Martinez	,2,3,0,1,0,0,0,2,ok,6,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Brian Mathias Coraza Eustace	,5,5,0,1,0,1,1,0,ok,11,2.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Nicolas Somoza	,0,2,0,0,0,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Lisandro Ricardo Luques	,8,4,0,0,0,2,1,0,ok,12,2.6666666666666665
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Juan Facundo Dominguez	,4,6,0,0,0,0,2,0,ok,10,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Augusto El Zoor	,2,7,0,0,1,0,1,0,ok,9,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Federico Soraide	,0,2,0,0,1,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Alan Guillermo Aaron Godoy	,2,4,0,0,3,0,1,0,ok,6,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Nataniel Varzilio	,7,4,0,1,0,1,2,0,ok,12,2.3333333333333335
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Samuel Aragon	,4,5,1,0,0,0,2,0,ok,10,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Ezequiel Mahmud,0,3,0,2,2,0,0,0,ok,5,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Ian Burgos,6,5,0,2,1,0,3,0,ok,13,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Kemmerer Agustín,6,7,0,0,1,0,3,0,ok,13,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Bottazzi Facundo,0,2,0,0,5,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Córdoba Nicolas,14,15,0,2,1,0,7,0,ok,31,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Emanuel Paz Calvo,2,5,0,1,0,0,1,0,ok,8,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Zapata LIber,2,2,0,0,1,0,1,0,ok,4,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Chaparro Facundo,0,2,0,0,0,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,Francisco Matías Mié Luraschi,0,3,1,0,0,0,0,0,ok,4,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Facundo Gaston Del Valle,2,4,3,1,2,0,1,0,ok,10,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Martin Luciano Ale,2,4,0,2,2,0,0,2,ok,8,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Gonzalo Ezequiel Sanchez,13,4,0,0,2,0,6,1,ok,17,1.8571428571428572
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Agustin Nehuen Martinez,0,3,0,0,2,0,0,0,ok,3,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Leandro Lautaro Sanchez,8,3,0,1,5,0,2,4,ok,12,1.3333333333333333
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Nicolas Martin Yegros,4,4,0,0,5,0,2,0,ok,8,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Cristian Ezequiel Bassi,1,6,0,1,1,0,0,1,ok,8,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Nahuel Horacio Marin Marin,1,3,0,0,2,0,0,1,ok,4,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Alan Agustin Sio Lopez,17,2,0,0,0,2,5,1,ok,19,2.125
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,Lucas Gabriel Flossi,2,3,0,1,2,0,1,0,ok,6,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Nicolas Galvan 	,2,2,0,0,1,0,1,0,ok,4,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Alberto Nicolas Mendez	,2,3,0,0,2,0,1,0,ok,5,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Jorge Dario Oriolo	,18,6,0,2,1,4,0,6,ok,26,1.8
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Ariel Marconi	,5,2,0,2,1,1,1,0,ok,9,2.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Jorge Araujo	,1,3,0,1,4,0,0,1,ok,5,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Ivan Ezequiel Ricca	,7,3,0,0,2,1,2,0,ok,10,2.3333333333333335
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Bern Zohore	,1,5,1,0,1,0,0,1,ok,7,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Mateo Avalos	,24,15,1,0,1,0,8,8,ok,40,1.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,Federico Carreira	,0,4,0,0,3,0,0,0,ok,4,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,",Jose Antonio Escalante	",0,2,0,0,1,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Donoso Matias Ezequiel,0,1,0,0,1,0,0,0,ok,1,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Pastore Santiago,9,3,0,0,4,1,3,0,ok,12,2.25
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Vergara Adrian Eber,2,4,0,0,1,0,1,0,ok,6,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Burgos Ian Matias,6,6,0,0,3,0,1,4,ok,12,1.2
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Antu Lima Pagliotto,13,6,0,1,2,0,4,5,ok,20,1.4444444444444444
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Mazzolini Tobias,4,7,0,0,4,0,1,2,ok,11,1.3333333333333333
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Ezequiel Olguin,29,5,0,2,2,7,2,4,ok,36,2.230769230769231
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,Arrese Lemos Matias,6,3,0,0,0,1,1,1,ok,9,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Ezequiel Rozenfarb	,9,2,0,0,1,1,2,2,ok,11,1.8
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Ignacio Gertie	,2,2,0,1,1,0,1,0,ok,5,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Santiago Barros	,10,3,0,0,4,2,1,2,ok,13,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Joaquín Fortuny	,6,4,0,0,0,2,0,0,ok,10,3.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Agustín Barros	,0,5,0,1,3,0,0,0,ok,6,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Santiago Hirsch	,2,3,0,0,2,0,1,0,ok,5,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Tomás Villalba	,3,3,0,1,3,0,1,1,ok,7,1.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Guido Ignacio Crespín	,2,7,2,1,2,0,1,0,ok,12,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Gonzalo Di Rosa	,15,7,0,3,3,2,4,1,ok,25,2.142857142857143
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,Layoneel Castañeda	,10,5,0,0,2,2,2,0,ok,15,2.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Elias Nahuel Mauro,4,2,4,1,4,0,2,0,ok,11,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Facundo Gaston Del Valle,12,7,3,0,3,0,5,2,ok,22,1.7142857142857142
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Martin Luciano Ale,5,7,1,4,2,1,1,0,ok,17,2.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Gonzalo Ezequiel Sanchez,12,4,1,3,4,0,3,6,ok,20,1.3333333333333333
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Agustin Nehuen Martinez,0,4,1,0,2,0,0,0,ok,5,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Leandro Lautaro Sanchez,8,1,5,0,4,2,0,2,ok,14,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Nicolas Martin Yegros,2,6,3,0,3,0,1,0,ok,11,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Nahuel Horacio Marin Marin,12,0,2,0,3,1,4,1,ok,14,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Federico Gaston Ale,0,4,1,0,1,0,0,0,ok,5,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,Alan Agustin Sio Lopez,11,4,1,3,2,3,1,0,ok,19,2.75
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Federico Martinez	,10,0,1,0,2,2,1,2,ok,11,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Brian Mathias Coraza Eustace	,0,1,1,0,0,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Lisandro Ricardo Luques	,2,5,4,3,2,0,1,0,ok,14,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Victor Raul Ibañez	,3,4,0,0,5,0,1,1,ok,7,1.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Juan Facundo Dominguez	,7,5,4,0,1,1,2,0,ok,16,2.3333333333333335
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Augusto El Zoor	,0,2,0,0,3,0,0,0,ok,2,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Federico Soraide	,3,1,1,0,0,0,1,1,ok,5,1.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Roberto Cataldi	,11,4,3,1,2,1,4,0,ok,19,2.2
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Sergio Ezequiel Vargas	,11,3,3,0,1,3,0,2,ok,17,2.2
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Juan Manuel Gavilan	,0,7,1,0,0,0,0,0,ok,8,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Alan Guillermo Aaron Godoy	,0,3,2,0,3,0,0,0,ok,5,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,Nataniel Varzilio	,2,4,1,0,2,0,1,0,ok,7,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Gonzalo Farruggia,20,11,3,1,4,3,2,7,ok,35,1.6666666666666667
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Ezequiel Mahmud,0,3,1,3,2,0,0,0,ok,7,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Ian Burgos,12,4,3,0,4,1,2,5,ok,19,1.5
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Bottazzi Facundo,2,3,0,0,2,0,1,0,ok,5,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Córdoba Nicolas,0,2,1,0,0,0,0,0,ok,3,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Zapata LIber,0,0,0,0,1,0,0,0,ok,0,0.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Chaparro Facundo,6,8,1,2,4,0,3,0,ok,17,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Francisco Matías Mié Luraschi,6,3,2,0,3,0,3,0,ok,11,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Francisco Denis,2,5,0,0,2,0,1,0,ok,7,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Jesús Barreto,3,2,0,0,0,1,0,0,ok,5,3.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,Ilan Genaro Corradini,3,5,0,0,4,1,0,0,ok,8,3.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Emiliano Armengot	,10,8,2,1,2,0,5,0,ok,21,2.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Nicolas Galvan 	,7,1,0,0,1,0,1,5,ok,8,1.1666666666666667
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Jorge Dario Oriolo	,31,9,4,5,1,6,4,5,ok,49,2.066666666666667
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Ariel Marconi	,2,6,1,1,4,0,0,2,ok,10,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Jorge Araujo	,2,5,1,0,3,0,0,2,ok,8,1.0
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Bern Zohore	,10,12,2,1,2,0,3,4,ok,25,1.4285714285714286
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,Federico Acosta	,0,1,0,0,1,0,0,0,ok,1,0.0
